x,y,area_px,cell_type
1026,19,1999,TC
1263,39,1320,TC
1353,47,1689,TC
1284,97,1009,TC
725,120,2737,TC
862,145,1417,TC
839,195,1126,TC
1226,248,4446,TC
1166,291,1184,TC
1792,348,1087,TC
1132,337,1126,TC
1247,341,1650,TC
1213,379,1009,TC
1190,406,3591,TC
1819,414,1009,TC
397,447,1145,TC
1300,460,2213,TC
1338,487,1164,TC
1375,548,2970,TC
614,543,1689,TC
1296,547,1572,TC
673,543,1281,TC
719,542,990,TC
1518,545,1126,TC
556,548,1592,TC
1528,579,1261,TC
808,633,2368,TC
1333,662,1223,TC
337,651,1067,TC
866,652,1067,TC
616,672,1553,TC
699,690,1533,TC
1255,696,3591,TC
805,711,1494,TC
1107,722,1397,TC
858,732,1164,TC
1051,718,1378,TC
1880,836,1164,TC
1151,835,1028,TC
407,921,3902,TC
1216,1107,1223,TC
742,1224,2213,TC
830,1246,2854,TC
879,1283,1727,TC
1013,1290,1009,TC
1181,1364,1106,TC
989,29,291,LC
964,55,116,LC
1124,56,135,LC
1545,125,232,LC
937,126,194,LC
1175,129,194,LC
764,140,135,LC
696,144,135,LC
652,164,291,LC
1327,151,116,LC
1024,186,291,LC
1495,241,291,LC
1054,234,174,LC
1437,251,116,LC
1195,256,271,LC
1285,261,291,LC
1075,275,213,LC
1440,269,174,LC
1730,260,116,LC
1335,284,174,LC
1627,286,291,LC
763,314,291,LC
1042,313,232,LC
1169,346,155,LC
440,373,232,LC
581,378,174,LC
1575,384,291,LC
1734,397,174,LC
1825,388,194,LC
889,430,232,LC
976,425,271,LC
1530,431,155,LC
1451,465,271,LC
382,488,213,LC
578,486,155,LC
1762,533,232,LC
819,557,116,LC
873,557,174,LC
1878,556,116,LC
1580,618,135,LC
524,627,116,LC
1181,638,116,LC
783,652,155,LC
1295,652,174,LC
656,658,116,LC
1535,677,135,LC
930,716,271,LC
658,764,252,LC
788,768,252,LC
348,789,116,LC
1041,792,291,LC
1079,814,213,LC
1460,826,155,LC
1179,829,232,LC
1719,846,116,LC
1395,855,213,LC
504,863,291,LC
671,865,116,LC
1873,880,252,LC
381,896,116,LC
1487,902,135,LC
508,951,135,LC
910,958,174,LC
1288,980,155,LC
1588,989,155,LC
1168,992,155,LC
1792,992,271,LC
628,1010,291,LC
911,1010,194,LC
1686,1039,194,LC
1740,1033,213,LC
1814,1035,116,LC
921,1052,213,LC
1038,1062,135,LC
647,1075,252,LC
614,1080,194,LC
1304,1094,271,LC
851,1098,271,LC
1741,1091,271,LC
454,1133,232,LC
806,1144,213,LC
1087,1146,135,LC
1196,1163,213,LC
508,1187,194,LC
1179,1209,194,LC
1230,1234,116,LC
942,1245,271,LC
990,1270,252,LC
1480,1270,174,LC
958,1315,213,LC
1369,1331,194,LC
1137,1370,116,LC
962,1381,252,LC
841,0,,ST
929,0,,ST
1150,0,,ST
1317,0,,ST
1405,0,,ST
920,4,,ST
1145,4,,ST
1379,4,,ST
894,8,,ST
1119,8,,ST
1207,8,,ST
912,13,,ST
1136,13,,ST
841,17,,ST
929,17,,ST
1154,17,,ST
868,22,,ST
956,22,,ST
1180,22,,ST
890,26,,ST
1114,26,,ST
1418,26,,ST
916,30,,ST
1141,30,,ST
850,35,,ST
938,35,,ST
1163,35,,ST
868,39,,ST
1101,39,,ST
1189,39,,ST
885,44,,ST
1158,44,,ST
828,48,,ST
916,48,,ST
1185,48,,ST
837,52,,ST
925,52,,ST
1194,52,,ST
819,57,,ST
907,57,,ST
1172,57,,ST
788,61,,ST
876,61,,ST
1097,61,,ST
1445,61,,ST
837,66,,ST
925,66,,ST
1167,66,,ST
1476,66,,ST
863,70,,ST
951,70,,ST
1097,70,,ST
1436,70,,ST
819,74,,ST
907,74,,ST
1013,74,,ST
1101,74,,ST
1427,74,,ST
810,79,,ST
898,79,,ST
991,79,,ST
1079,79,,ST
1172,79,,ST
1471,79,,ST
841,83,,ST
929,83,,ST
1017,83,,ST
1105,83,,ST
1194,83,,ST
1480,83,,ST
846,88,,ST
934,88,,ST
1022,88,,ST
1110,88,,ST
1198,88,,ST
1454,88,,ST
806,92,,ST
956,92,,ST
1044,92,,ST
1132,92,,ST
1220,92,,ST
1471,92,,ST
810,96,,ST
969,96,,ST
1057,96,,ST
1145,96,,ST
1233,96,,ST
1484,96,,ST
801,101,,ST
964,101,,ST
1053,101,,ST
1141,101,,ST
1229,101,,ST
1467,101,,ST
1555,101,,ST
925,105,,ST
1013,105,,ST
1101,105,,ST
1189,105,,ST
1401,105,,ST
1489,105,,ST
1577,105,,ST
951,110,,ST
1039,110,,ST
1128,110,,ST
1216,110,,ST
1405,110,,ST
1493,110,,ST
964,114,,ST
1053,114,,ST
1141,114,,ST
1365,114,,ST
1454,114,,ST
1586,114,,ST
1013,118,,ST
1101,118,,ST
1229,118,,ST
1414,118,,ST
1502,118,,ST
815,123,,ST
1048,123,,ST
1136,123,,ST
1365,123,,ST
1454,123,,ST
1586,123,,ST
991,127,,ST
1079,127,,ST
1211,127,,ST
1392,127,,ST
1480,127,,ST
1797,127,,ST
1009,132,,ST
1097,132,,ST
1229,132,,ST
1410,132,,ST
1498,132,,ST
1819,132,,ST
1026,136,,ST
1114,136,,ST
1357,136,,ST
1445,136,,ST
1577,136,,ST
982,141,,ST
1070,141,,ST
1158,141,,ST
1401,141,,ST
1489,141,,ST
797,145,,ST
1009,145,,ST
1097,145,,ST
1220,145,,ST
1423,145,,ST
1511,145,,ST
801,149,,ST
995,149,,ST
1083,149,,ST
1194,149,,ST
1396,149,,ST
1484,149,,ST
1590,149,,ST
925,154,,ST
1013,154,,ST
1101,154,,ST
1198,154,,ST
1379,154,,ST
1467,154,,ST
1559,154,,ST
1647,154,,ST
991,158,,ST
1079,158,,ST
1167,158,,ST
1255,158,,ST
1396,158,,ST
1484,158,,ST
1573,158,,ST
1661,158,,ST
987,163,,ST
1075,163,,ST
1163,163,,ST
1251,163,,ST
1379,163,,ST
1467,163,,ST
1555,163,,ST
1643,163,,ST
969,167,,ST
1088,167,,ST
1242,167,,ST
1357,167,,ST
1445,167,,ST
1533,167,,ST
1621,167,,ST
920,171,,ST
1048,171,,ST
1136,171,,ST
1304,171,,ST
1405,171,,ST
1493,171,,ST
1581,171,,ST
1669,171,,ST
942,176,,ST
1075,176,,ST
1242,176,,ST
1330,176,,ST
1418,176,,ST
1506,176,,ST
1595,176,,ST
678,180,,ST
925,180,,ST
1057,180,,ST
1145,180,,ST
1330,180,,ST
1418,180,,ST
1506,180,,ST
1595,180,,ST
616,185,,ST
740,185,,ST
956,185,,ST
1088,185,,ST
1273,185,,ST
1361,185,,ST
1449,185,,ST
1537,185,,ST
1625,185,,ST
634,189,,ST
740,189,,ST
956,189,,ST
1088,189,,ST
1277,189,,ST
1365,189,,ST
1454,189,,ST
1542,189,,ST
1630,189,,ST
625,193,,ST
713,193,,ST
934,193,,ST
1066,193,,ST
1273,193,,ST
1361,193,,ST
1449,193,,ST
1537,193,,ST
1625,193,,ST
616,198,,ST
705,198,,ST
925,198,,ST
1057,198,,ST
1145,198,,ST
1365,198,,ST
1454,198,,ST
1542,198,,ST
1630,198,,ST
612,202,,ST
700,202,,ST
920,202,,ST
1053,202,,ST
1141,202,,ST
1361,202,,ST
1449,202,,ST
1537,202,,ST
1625,202,,ST
608,207,,ST
696,207,,ST
916,207,,ST
